Amanda 	 7.50 	 Aprovado 
Alberto 	 5.17 	 Reprovado
Jane 	 6.43 	 Reprovado
Igor 	 8.83 	 Aprovado 
Samara 	 9.00 	 Aprovado 
Maria 	 9.00 	 Aprovado 
Cesar 	 9.00 	 Aprovado 
Pedro 	 9.00 	 Aprovado 
Amanda 	 7.50 	 Aprovado 
Alberto 	 5.17 	 Reprovado
Jane 	 6.43 	 Reprovado
Igor 	 8.83 	 Aprovado 
Samara 	 9.00 	 Aprovado 
Maria 	 9.00 	 Aprovado 
Cesar 	 9.00 	 Aprovado 
Pedro 	 9.00 	 Aprovado 
Amanda 	 7.50 	 Aprovado 
Alberto 	 5.17 	 Reprovado
Jane 	 6.43 	 Reprovado
Igor 	 8.83 	 Aprovado 
Samara 	 9.00 	 Aprovado 
Maria 	 9.00 	 Aprovado 
Cesar 	 9.00 	 Aprovado 
Pedro 	 9.00 	 Aprovado 
